 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Ferrari,SF90 STRADALE,V8,3990cc,963hp,340km/h,2.5 sec,"$1,100,000 ",Plug In Hybrid,2,800 Nm
Rolls Royce,PHANTOM,V12,6749cc,563-hp,250km/h,5.3 sec,"$460,000 ",Petrol,5,900 N·m
Ford,KA+,1.2L Petrol,"1,200cc",70-85hp,165km/h,10.5 sec,"$12,000-$15,000",Petrol,5,100 - 140 Nm
Mercedes,GT 63 S,V8,"3,982cc",630hp,250km/h,3.2 sec,"$161,000 ",Petrol,4,900 Nm
Audi,R8 Gt,V10,"5,204cc",602hp,320km/h,3.6 sec,"$253,290 ",Petrol,2,560 Nm
McLaren,720S,V8,"3,994cc",710 hp,341km/h,2.9 sec,"$499,000 ",Petrol,dos,770 Nm
Aston Martin,VANTAGE F1,V8,"3,982cc",656hp,314km/h,3.6 sec,"$193,440 ",Petrol,2,685 Nm
Bentley,Continental GT Azure,V8,"3,996cc",550hp,318km/h,4.0 sec,"$311,000 ",Petrol,4,900 Nm
Lamborghini,VENENO ROADSTER,V12,"6,498cc",750hp,356km/h,2.9 sec,"$4,500,000 ",Petrol,2,690 Nm
Ferrari,F8 TRIBUTO,V8,3900 cm3,N/A,340km/h,2.9 sec,"$280,000 ",PETROL,,770 Nm
Ferrari,812 GTS,V12,6496cc,N/A,340km/h,2.9 sec,"$350,000 ",Petrol,2,718 N·m
Ferrari,PORTOFINO,V8,"3,900cc",592hp,320km/h,3.2 sec,"$210,000 ",Petrol,4,760 Nm
Ferrari,ROMA,V8,"3,900cc",612hp,N/A,3.4 sec,"$230,000 ",Petrol,4,760 Nm
Ferrari,MONZA SP2,V12,"6,496cc",789hp,340km/h,2.9 sec,"$1,700,000 ",PETROL,2,719 Nm
